filename,duration
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__50.dat,14.353726000001188
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__49.dat,14.354884000000311
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__23.dat,14.359543000005942
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__41.dat,14.369030000001658
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__110.dat,14.37471600000572
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__109.dat,14.378851999994367
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__51.dat,14.379109999994398
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__59.dat,14.381094999997003
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__24.dat,14.382742000001599
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__22.dat,14.383042000001296
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__33.dat,14.384524000000965
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__5.dat,14.39138400000229
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__100.dat,14.39415399999416
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__84.dat,14.397414999999455
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__14.dat,14.39991000000009
cg.C.x__dahu-17__v6.8.0-rc3__performance__2024-04-26__nb-disabled-sockorder__83.dat,14.400333000005048
