filename,duration
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__12.dat,59.33375400000659
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__7.dat,59.33640000000014
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__14.dat,59.513944999998785
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__8.dat,59.61348200000066
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__9.dat,59.63578399999824
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__17.dat,59.65876700000081
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__13.dat,59.66679899999872
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__18.dat,59.72670300000755
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__11.dat,59.74491500000295
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__10.dat,59.75150300000678
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__2.dat,59.76356500000111
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__4.dat,59.765824000001885
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__1.dat,59.83556199999293
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__19.dat,59.83700699999463
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__5.dat,59.83874200000719
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__16.dat,59.89153399999486
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__3.dat,59.90974800000549
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__6.dat,60.11136900000565
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__15.dat,60.238014000002295
mg.D.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-disabled-none__20.dat,62.36956999999529
