filename,duration,broken_wc_time
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__14.dat,22.53769700000703,0.004178
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__17.dat,22.625218999994104,0.000365
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__16.dat,22.687292000002344,0.006258
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__6.dat,22.703897999992478,0.001726
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__2.dat,22.734544999999343,0.000277
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__13.dat,22.737961999999243,0.008151
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__15.dat,22.76693699999305,0.000269
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__5.dat,22.772813000003225,0.000377
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__9.dat,22.960401000003912,0.004338
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__20.dat,23.05645000000368,0.000258
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__4.dat,23.081369000006816,0.007502
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__11.dat,23.159916999997222,0.00143
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__12.dat,23.239079000006313,0.000354
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__18.dat,23.46904500000528,0.003789
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__19.dat,23.50222300000314,0.000644
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__7.dat,24.153475999992224,0.002945
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__8.dat,24.53070000000298,0.000521
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__10.dat,24.621810999989975,0.003052
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__3.dat,24.989843999996083,0.000335
lu.C.x__dahu-15__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sockorder__1.dat,25.605950999990455,0.002007
