filename,duration
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__2.dat,30.127270000000863
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__4.dat,30.24057399999947
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__3.dat,30.29804999999942
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__7.dat,30.757495999998355
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__13.dat,30.920759000000544
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__6.dat,30.953593000000183
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__8.dat,30.974389999999403
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__5.dat,31.063975999999457
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__9.dat,31.083597999999256
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__1.dat,31.1553729999996
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__14.dat,31.1642720000018
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__19.dat,31.17807999999968
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__17.dat,31.205662000000302
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__10.dat,31.219301000000996
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__12.dat,31.388952999999674
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__18.dat,31.40602299999955
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__11.dat,31.42475899999954
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__20.dat,31.666520999999193
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__16.dat,31.725798999999824
sp.C.x__dahu-13__v6.8.0-rc3__performance__2024-03-09__nb-enabled-sequential__15.dat,31.916427999998632
